"lane","lineage","K","O","H","ST131.clade"
"11657_5#1","SC4_ST10","Untypeable","Onovel32","H9",""
"11657_5#10","SC17_ST58","Untypeable","O159","H21",""
"11657_5#11","SC2_ST131","KL126_K14-like","O25","H4","C2"
"11657_5#12","SC3_ST73","KL6_K5","O6","H1",""
"11657_5#13","SC2_ST131","KL6_K5","O25","H4","C2"
"11657_5#14","SC6_ST69","KL189_K52-like","O15","H18",""
"11657_5#15","SC5_ST95","KL8A1_K1","O1","H7",""
"11657_5#16","SC169_ST361","Untypeable","O9","H30",""
"11657_5#17","SC8_ST1193","KL6_K5","O18","H5",""
"11657_5#18","SC33_ST357","KL8A1_K1","O117","H4",""
"11657_5#19","SC3_ST73","KL3_K2ab","O6","H1",""
"11657_5#2","SC5_ST95","KL8A1_K1","O1","H7",""
"11657_5#20","SC16_ST38","KL99","O7","H15",""
"11657_5#21","SC386_ST2526","Untypeable","Oneg","H14",""
"11657_5#22","SC2_ST131","KL53_K2-like","O25","H4","C2"
"11657_5#23","SC8_ST1193","KL6_K5","O75","H5",""
"11657_5#24","SC2_ST131","KL53_K2-like","O25","H4","C2"
"11657_5#28","SC2_ST131","KL2_K100","O16","H5","A"
"11657_5#3","SC3_ST73","KL3_K2ab","O6","H1",""
"11657_5#39","SC90_ST685","Untypeable","O8/O93","H30",""
"11657_5#4","SC133_ST1434","Untypeable","O18ab","H14",""
"11657_5#40","SC4_ST10","Untypeable","Onovel32","H9",""
"11657_5#41","SC5_ST95","KL8A1_K1","O1","H7",""
"11657_5#42","SC17_ST58","Untypeable","O9","H25",""
"11657_5#43","SC14_ST405","KL6_K5","O2","H4",""
"11657_5#44","SC3_ST73","KL3_K2ab","O6","H1",""
"11657_5#46","SC2_ST131","KL6_K5","O25","H4","C2"
"11657_5#47","SC3_ST73","KL10_K7","O2","H1",""
"11657_5#48","SC3_ST73","KL7","O18","H1",""
"11657_5#49","SC5_ST95","KL8A1_K1","O1","H7",""
"11657_5#5","SC34_ST641","KL107_K4-like","O23","H16",""
"11657_5#50","SC3_ST73","KL6_K5","O6","H1",""
"11657_5#51","SC121_ST452","KL5","O81","H27",""
"11657_5#52","SC4_ST10","Untypeable","Onovel32","H10",""
"11657_5#53","SC5_ST95","KL8A1_K1","O1","H7",""
"11657_5#54","SC5_ST95","KL8A1_K1","O1","H7",""
"11657_5#55","SC3_ST73","KL3_K2ab","O6","H1",""
"11657_5#56","SC5_ST95","KL8A1_K1","O1","H7",""
"11657_5#57","SC33_ST357","KL8A1_K1","O129","H4",""
"11657_5#58","SC3_ST73","KL6_K5","O25","H1",""
