ID,Accession,KL,EC_K_KL,Kpheno,Serogroup,Group,Order
K52_G2_KL11_CU928163,CU928163,KL11,KL11_K52,K52,,G2,
G2_KL13_30348_2.133_1,ERZ24118500,KL13,KL13,,,G2,G2-atypical_order
G2_KL34_30345_1.148_2,ERZ24115930,KL34,KL34,,,G2,G2-atypical_order
G2_KL29_30602_1.132_1,ERZ24119942,KL29,KL29_K4,K4,,G2,
G2_KL48_47728_2.307,ERR13499600,KL48,KL48,,,G2,
G2_KL110_ERR434290,ERR434290,KL110,KL110,,,G2,
G2_KL96_30821_1.332_1,ERZ24123486,KL96,KL96,,,G2,G2-atypical_order
K15_G2_KL40_CP000247,CP000247,KL40,KL40_K15,K15,,G2,
G2_KL39_30345_1.158_1,ERZ24115961,KL39,KL39,,,G2,
G2_KL225_30348_2.21_1,ERZ24118911,KL225,KL225,,,G2,
K93_G2_KL4_ERR1036227,ERR1036227,KL4,KL4_K93,K93,,G2,
K53_G2_KL28_31663_7.272_1,ERZ24125771,KL28,KL28_K53,K53,,G2,
K2ab_G2_KL3_MG736912,MG736912,KL3,KL3_K2,K2,,G2,
K7_G2_KL10_30821_1.45_1,ERZ24123698,KL10,KL10_K7,K7,,G2,
G2_KL7_30224_1.33_1,ERZ24115395,KL7,KL7,,,G2,
K1_G2_KL8A1_CP000243,CP000243,KL8A1,KL8A1_K1,K1,K1-K92,G2,
K92_G2_KL8A2_MG739441,MG739441,KL8A2,KL8A2_K92,K92,K1-K92,G2,
G2_KL30_30134_6.153_1,ERZ24113780,KL30,KL30,,,G2,
G2_KL105_30602_2.290_1,ERZ24121880,KL105,KL105,,,G2,G2-atypical_order
G2_KL35_30348_2.175_1,ERZ24118717,KL35,KL35,,,G2,
G2_KL73_ERR4034177,ERR4034177,KL73,KL73,,,G2,G2-atypical_order
G2_KL44_30859_5.10_1,ERZ24123960,KL44,KL44,,,G2,G2-atypical_order
G2_KL93_30348_1.198_2,ERZ24117455,KL93,KL93,,,G2,
G2_KL31_ERR999925,ERR999925,KL31,KL31,,,G2,
G2_KL78_ERR3970235,ERR3970235,KL78,KL78,,,G2,
G2_KL46_ERR435310,ERR435310,KL46,KL46,,,G2,
G2_KL71_SAMN04993121,SAMN04993121,KL71,KL71,,,G2,
K100_G2_KL2_CP013658,CP013658,KL2,KL2_K100,K100,,G2,
K12_G2_KL86_30224_1.85_2,ERZ24115694,KL86,KL86_K12,K12,,G2,
G2_KL181_SAMN02801815,SAMN02801815,KL181,KL181,,,G2,
G2_KL74_SAMEA3322059,SAMEA3322059,KL74,KL74,,,G2,
G2_KL141_31663_7.316_1,ERZ24125854,KL141,KL141,,,G2,
K5_G2_KL6_CP013831,CP013831,KL6,KL6_K5,K5,,G2,
G2_KL179_SAMEA4559551,SAMEA4559551,KL179,KL179,,,G2,
G2_KL72_ERR4034834,ERR4034834,KL72,KL72,,,G2,
G2_KL82_ERR3970833,ERR3970833,KL82,KL82,,K1-K92,G2,
K24_G2_KL14_30134_6.170_3,ERZ24113823,KL14,KL14_K24,K24,,G2,
G2_KL17_30348_1.159_2,ERZ24117328,KL17,KL17,,,G2,
G2_KL98_30348_1.306_2,ERZ24117881,KL98,KL98,,,G2,G2-atypical_order
G2_KL24_30345_1.260_1,ERZ24116432,KL24,KL24,,,G2,
G2_KL45_30821_1.44_1,ERZ24123693,KL45,KL45,,,G2,G2-atypical_order
G2_KL88_30224_1.94_1,ERZ24115709,KL88,KL88,,,G2,
G2_KL218_SRR6111979,SRR6111979,KL218,KL218,,,G2,
G2_KL23_30602_1.193_1,ERZ24120237,KL23,KL23,,,G2,
G2_KL103_30859_5.114_1,ERZ24123974,KL103,KL103,,,G2,
G2_KL111_30859_5.252_1,ERZ24124537,KL111,KL111,,,G2,
G2_KL91_30345_1.78_1,ERZ24117066,KL91,KL91,,,G2,
G2_KL22_30821_1.165_1,ERZ24122877,KL22,KL22,,,G2,
G2_KL80_ERR434849,ERR434849,KL80,KL80,,K13-K20-K23,G2,
G2_KL177_SAMEA3357406,SAMEA3357406,KL177,KL177,,,G2,
K20_G2_KL9_MG739438,MG739438,KL9,KL9_K20,K20,K13-K20-K23,G2,
G2_KL144_SAMEA4428255,SAMEA4428255,KL144,KL144,,,G2,
G2_KL43_30134_6.174_1,ERZ24113830,KL43,KL43,,,G2,G2-atypical_order
G2_KL180_ERR435091,ERR435091,KL180,KL180,,,G2,
K16_G2_KL47_30224_1.383_1,ERZ24115561,KL47,KL47_K16,K16,,G2,
G2_KL187_SAMN07177512,SAMN07177512,KL187,KL187,,,G2,
G2_KL182_ERR435060,ERR435060,KL182,KL182,,,G2,
G2_KL42_30348_1.272_1,ERZ24117759,KL42,KL42,,,G2,
G2_KL126_ERR9845308,ERR9845308,KL126,KL126,,,G2,
K13-23_G2_KL21_ERR999921,ERR999921,KL21,KL21_K13-K23,K13-K23,K13-K20-K23,G2,
K14_G2_KL16_30348_2.90_1,ERZ24119801,KL16,KL16_K14,K14,,G2,
K82_G2_KL12_30348_1.18_1,ERZ24117436,KL12,KL12_K82,K82,,G2,
G2_KL183_SAMN04096287,SAMN04096287,KL183,KL183,,,G2,
G2_KL5_30859_5.251_1,ERZ24124531,KL5,KL5,,,G2,
G2_KL70_ERR3970455,ERR3970455,KL70,KL70,,,G2,
G2_KL173_ERR435357,ERR435357,KL173,KL173,,,G2,
G2_KL138_47624_1.139,ERR13369634,KL138,KL138,,,G2,
G2_KL112_30859_5.286_1,ERZ24124658,KL112,KL112,,,G2,
K10_G3_KL15_ERR972368,ERR972368,KL15,KL15_K10,K10,,G3-A,
G3_KL27_30348_2.134_1,ERZ24118502,KL27,KL27,,,G3-A,
K96_G3_KL36_MG736915,MG736915,KL36,KL36_K54-K96,K54-K96,K54-K96,G3-A,
K3_G3_KL26_30224_1.254_1,ERZ24115085,KL26,KL26_K3,K3,,G3-A,
G3_KL59_ERR12107526,ERR12107526,KL59,KL59,,,G3-A,
K98_G3_KL20_30134_6.69_2,ERZ24114480,KL20,KL20,K98,,G3-A,
G3_KL134_ERR1016526,ERR1016526,KL134,KL134,,,G3-A,
G3_KL97_30348_1.301_1,ERZ24117861,KL97,KL97,,,G3-A,
G3_KL113_30859_5.60_1,ERZ24125319,KL113,KL113,,,G3-A,
K11_G3_KL57_MG736913,MG736913,KL57,KL57_K11,K11,,G3-B,
G3_KL66_ERR1790491,ERR1790491,KL66,KL66,,,G3-B,
G3_KL64_ERR1609624,ERR1609624,KL64,KL64,,,G3-B,
G3_KL58_ERR1609138,ERR1609138,KL58,KL58,,,G3-B,
G3_KL56_ERR1609308,ERR1609308,KL56,KL56,,,G3-B,
G3_KL60_ERR4036254,ERR4036254,KL60,KL60,,,G3-B,
G3_KL61_ERR1609361,ERR1609361,KL61,KL61,,,G3-B,
G3_KL139_47624_1.46,ERR13369541,KL139,KL139,,,G3-B,
G3_KL214_SRR6107012,SRR6107012,KL214,KL214,,,G3-B,
G3_KL55_ERR1609148,ERR1609148,KL55,KL55,,,G3-B,
K19_G3_KL160_ERR1025281,ERR1025281,KL160,KL160_K19,K19,,G3-C,
G3_KL65_ERR1622244,ERR1622244,KL65,KL65,,,G3-D,
G3_KL75_ERR3905540,ERR3905540,KL75,KL75,,,G3-E,
