locus,group,architecture,source,previous_locus
KL51,G2,G2-atypical_order,published_90_locus_phandango_metadata,KL110
KL112,G2,G2-atypical_order,published_90_locus_phandango_metadata,
KL117,G2,G2-atypical_order,published_90_locus_phandango_metadata,
KL134,G2,G2-atypical_order,published_90_locus_phandango_metadata,
KL137,G2,G2-atypical_order,published_90_locus_phandango_metadata,
KL142,G2,G2-atypical_order,published_90_locus_phandango_metadata,
KL144,G2,G2-atypical_order,published_90_locus_phandango_metadata,
KL167,G2,G2-atypical_order,published_90_locus_phandango_metadata,
KL169,G2,G2-atypical_order,published_90_locus_phandango_metadata,
KL176,G2,G2-atypical_order,v4_gene_order_review,
KL179,G2,G2-atypical_order,v4_gene_order_review,
