assembly,Family,Strain,lane_id,Designation,Designation.source,O,H,ST131.clade,count
14792_19_clean_Escherichia_coli-SC20_ST59_contigs,513122,SC20_ST59,14792_19,KL99,>5000bp,O1,H7,,1
14794_5_clean_Escherichia_coli-SC6_ST69_contigs,514123,SC6_ST69,14794_5,KL7,>5000bp,O17,H18,,1
14801_38_clean_Escherichia_coli-SC77_ST409_contigs,515126,SC77_ST409,14801_38,KL82_K1-K92-like,<5000bp,O21,H38/H55,,1
14801_43_clean_Escherichia_coli-SC3_ST73_contigs,515127,SC3_ST73,14801_43,KL21_K13-K23,>5000bp,O1,H7,,1
14801_43_clean_Escherichia_coli-SC5_ST95_contigs,515127,SC5_ST95,14801_43,KL8A1_K1,>5000bp,O1,H7,,1
14794_15_clean_Escherichia_coli-SC6_ST69_contigs,519129,SC6_ST69,14794_15,KL36_K54-K96,>5000bp,O17,H18,,1
14794_1_clean_Escherichia_coli-SC11_ST127_contigs,521130,SC11_ST127,14794_1,KL137_K14-like,>5000bp,O6,H31,,1
14794_10_clean_Escherichia_coli-SC16_ST38_contigs,523133,SC16_ST38,14794_10,KL6_K5,>5000bp,O153-like,H18,,1
14795_61_clean_Escherichia_coli-SC60_ST420_contigs,604136,SC60_ST420,14795_61,KL8A1_K1,>5000bp,O134,H31,,1
20596_5_1_clean_Escherichia_coli-SC5_ST95_contigs,A00021,SC5_ST95,20596_5_1,KL8A1_K1,>5000bp,O18,H7,,1
20727_3_10_clean_Escherichia_coli-SC6_ST69_contigs,A00067,SC6_ST69,20727_3_10,KL6_K5,>5000bp,O25,H18,,1
20727_5_17_clean_Escherichia_coli-SC10_ST17_contigs,A00106,SC10_ST17,20727_5_17,Untypeable,Both,O128,H2/H35,,1
20727_5_18_clean_Escherichia_coli-SC61_ST91_contigs,A00106,SC61_ST91,20727_5_18,KL29_K4,>5000bp,O39,H4,,1
20727_5_3_clean_Escherichia_coli-SC70_ST607_contigs,A00134,SC70_ST607,20727_5_3,Untypeable,Both,O75,H5,,1
20727_5_3_clean_Escherichia_coli-SC8_ST1193_contigs,A00134,SC8_ST1193,20727_5_3,KL8A1_K1,>5000bp,O75,H5,,1
25076_6_1_clean_Escherichia_coli-SC215_ST195_contigs,A00155,SC215_ST195,25076_6_1,Untypeable,Both,O82,H4,,1
25013_1_1_clean_Escherichia_coli-SC2_ST131_contigs,A00155,SC2_ST131,25013_1_1,KL6_K5,>5000bp,O25,H4,C1,1
25076_6_1_clean_Escherichia_coli-SC3_ST73_contigs,A00155,SC3_ST73,25076_6_1,KL21_K13-K23,>5000bp,O82,H4,,1
25076_6_1_clean_Escherichia_coli-SC4_ST10_contigs,A00155,SC4_ST10,25076_6_1,Untypeable,Both,O82,H4,,1
37081_1_19_clean_Escherichia_coli-SC4_ST10_contigs,A00156,SC4_ST10,37081_1_19,Untypeable,Both,Oneg,Hneg,,1
20727_7_13_clean_Escherichia_coli-SC17_ST58_contigs,A00190,SC17_ST58,20727_7_13,Untypeable,Both,O104,Hneg,,1
20727_7_13_clean_Escherichia_coli-SC25_ST517_contigs,A00190,SC25_ST517,20727_7_13,Untypeable,Both,O104,Hneg,,1
20727_7_13_clean_Escherichia_coli-SC28_ST101_contigs,A00190,SC28_ST101,20727_7_13,Untypeable,Both,O104,Hneg,,1
20727_7_13_clean_Escherichia_coli-SC42_ST678_contigs,A00190,SC42_ST678,20727_7_13,Untypeable,Both,O104,Hneg,,1
20727_7_13_clean_Escherichia_coli-SC87_ST937_contigs,A00190,SC87_ST937,20727_7_13,Untypeable,Both,O104,Hneg,,1
20727_7_13_clean_Escherichia_coli-SC99_ST1727_contigs,A00190,SC99_ST1727,20727_7_13,Untypeable,Both,O104,Hneg,,1
20727_7_15_clean_Escherichia_coli-SC3_ST73_contigs,A00217,SC3_ST73,20727_7_15,KL6_K5,>5000bp,O25,H1,,1
21127_3_15_clean_Escherichia_coli-SC96_ST4038_contigs,A00219,SC96_ST4038,21127_3_15,Untypeable,Both,O82,H20,,1
37081_1_2_clean_Escherichia_coli-SC20_ST59_contigs,A00256,SC20_ST59,37081_1_2,KL8A1_K1,>5000bp,O1,H7,,1
24211_7_21_clean_Escherichia_coli-SC69_ST349_contigs,A00502,SC69_ST349,24211_7_21,KL7,>5000bp,O166,H15,,1
37273_7_22_clean_Escherichia_coli-SC6_ST69_contigs,A00525,SC6_ST69,37273_7_22,KL7,>5000bp,O17,H18,,1
21127_4_9_clean_Escherichia_coli-SC8_ST1193_contigs,A00539,SC8_ST1193,21127_4_9,KL6_K5,>5000bp,O75,H5,,1
21127_4_10_clean_Escherichia_coli-SC121_ST452_contigs,A00541,SC121_ST452,21127_4_10,KL5,>5000bp,O25,H4,,1
21127_5_6_clean_Escherichia_coli-SC4_ST10_contigs,A00541,SC4_ST10,21127_5_6,KL82_K1-K92-like,<5000bp,Oneg,H4,,1
21127_4_10_clean_Escherichia_coli-SC4_ST10_contigs,A00541,SC4_ST10,21127_4_10,KL8A1_K1,>5000bp,O25,H4,,2
37081_1_11_clean_Escherichia_coli-SC20_ST59_contigs,A00544,SC20_ST59,37081_1_11,KL8A1_K1,>5000bp,O1,H7,,1
21127_4_18_clean_Escherichia_coli-SC2_ST131_contigs,A00559,SC2_ST131,21127_4_18,KL2_K100,>5000bp,O16,H5,A,1
21127_4_18_clean_Escherichia_coli-SC96_ST4038_contigs,A00559,SC96_ST4038,21127_4_18,Untypeable,Both,O16,H5,,1
