Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,G2_KL103_30859_5.114_1,G2_KL105_30602_2.290_1,G2_KL110_ERR434290,G2_KL111_30859_5.252_1,G2_KL112_30859_5.286_1,G2_KL126_ERR9845308,G2_KL13_30348_2.133_1,G2_KL138_47624_1.139,G2_KL141_31663_7.316_1,G2_KL144_SAMEA4428255,G2_KL17_30348_1.159_2,G2_KL173_ERR435357,G2_KL177_SAMEA3357406,G2_KL179_SAMEA4559551,G2_KL180_ERR435091,G2_KL181_SAMN02801815,G2_KL182_ERR435060,G2_KL183_SAMN04096287,G2_KL187_SAMN07177512,G2_KL218_SRR6111979,G2_KL22_30821_1.165_1,G2_KL225_30348_2.21_1,G2_KL23_30602_1.193_1,G2_KL24_30345_1.260_1,G2_KL29_30602_1.132_1,G2_KL30_30134_6.153_1,G2_KL34_30345_1.148_2,G2_KL35_30348_2.175_1,G2_KL39_30345_1.158_1,G2_KL42_30348_1.272_1,G2_KL43_30134_6.174_1,G2_KL44_30859_5.10_1,G2_KL45_30821_1.44_1,G2_KL46_ERR435310,G2_KL48_47728_2.307,G2_KL5_30859_5.251_1,G2_KL7_30224_1.33_1,G2_KL70_ERR3970455,G2_KL71_SAMN04993121,G2_KL72_ERR4034834,G2_KL73_ERR4034177,G2_KL74_SAMEA3322059,G2_KL78_ERR3970235,G2_KL80_ERR434849,G2_KL82_ERR3970833,G2_KL88_30224_1.94_1,G2_KL91_30345_1.78_1,G2_KL93_30348_1.198_2,G2_KL96_30821_1.332_1,G2_KL98_30348_1.306_2,G2_KL99_30348_1.353_2,K1_G2_KL8A1_CP000243,K100_G2_KL2_CP013658,K12_G2_KL86_30224_1.85_2,K13-23_G2_KL21_ERR999921,K14_G2_KL16_30348_2.90_1,K15_G2_KL40_CP000247,K16_G2_KL47_30224_1.383_1,K2ab_G2_KL3_MG736912,K20_G2_KL9_MG739438,K24_G2_KL14_30134_6.170_3,K5_G2_KL6_CP013831,K52_G2_KL11_CU928163,K53_G2_KL28_31663_7.272_1,K7_G2_KL10_30821_1.45_1,G2_KL31_ERR999925,K82_G2_KL12_30348_1.18_1,K92_G2_KL8A2_MG739441,K93_G2_KL4_ERR1036227
kpsF,,polysialic acid capsule synthesis protein KpsF,,,,,,,,,,,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsE,,Capsule polysaccharide export inner-membrane protein,,,,,,,,,,,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsD,,polysialic acid transport protein,,,,,,,,,,,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsU,,3-deoxy-manno-octulosonate cytidylyltransferase,,,,,,,,,,,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsC,,polysialic acid capsule polysaccharide export protein KpsC,,,,,,,,,,,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsS,,capsule polysaccharide export protein KpsS,,,,,,,,,,,75,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
kpsT,,polysialic acid transport ATP-binding protein KpsT,,,,,,,,,,,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsM,,polysialic acid transport protein KpsM,,,,,,,,,,,79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsS_3,,KpsS protein,,,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
kpsC_3,,capsule export protein KpsC,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
kpsS_4,,capsule polysaccharide export protein KpsS,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
kpsM_3,,ABC-type polysaccharide/polyol phosphate export systems permease,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kpsT_6,,polysialic acid transport ATP-binding protein,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ugd,,UDP-glucose 6-dehydrogenase,,,,,,,,,,,16,,,,1,,,,1,,1,,,,,,,1,,1,1,,,,,1,,,,,,,,,,1,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,1,,,,,1
rmlD_2,,UDP-N-acetyl-D-mannosamine dehydrogenase,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kfoG,group_177,glycosyltransferase family A protein,,,,,,,,,,,13,,,,1,,,,1,,1,,,,,,,1,,1,1,,,,,1,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
